nchannels,world_size,msg_bytes,primitive,bandwidth_gbps,latency_us,busbw_gbps,algorithm,hostname,timestamp
1,2,1024,all_reduce,0.0107,95.70,0.0107,auto,a05u07,2026-05-05T20:32:06Z
1,2,1024,all_reduce,0.0191,53.51,0.0191,auto,a05u07,2026-05-05T20:32:06Z
1,2,1024,all_reduce,0.0228,44.95,0.0228,auto,a05u07,2026-05-05T20:32:06Z
1,2,1024,all_reduce,0.0241,42.43,0.0241,auto,a05u07,2026-05-05T20:32:06Z
1,2,1024,all_reduce,0.0252,40.57,0.0252,auto,a05u07,2026-05-05T20:32:06Z
1,2,1024,all_reduce,0.0245,41.76,0.0245,auto,a05u07,2026-05-05T20:32:06Z
1,2,1024,all_reduce,0.0249,41.14,0.0249,auto,a05u07,2026-05-05T20:32:06Z
1,2,1024,all_reduce,0.0246,41.57,0.0246,auto,a05u07,2026-05-05T20:32:06Z
1,2,4096,all_reduce,0.0906,45.19,0.0906,auto,a05u07,2026-05-05T20:32:06Z
1,2,4096,all_reduce,0.0953,42.98,0.0953,auto,a05u07,2026-05-05T20:32:06Z
1,2,4096,all_reduce,0.1004,40.80,0.1004,auto,a05u07,2026-05-05T20:32:06Z
1,2,4096,all_reduce,0.0967,42.35,0.0967,auto,a05u07,2026-05-05T20:32:06Z
1,2,4096,all_reduce,0.0980,41.81,0.0980,auto,a05u07,2026-05-05T20:32:06Z
1,2,4096,all_reduce,0.1007,40.69,0.1007,auto,a05u07,2026-05-05T20:32:06Z
1,2,4096,all_reduce,0.1036,39.55,0.1036,auto,a05u07,2026-05-05T20:32:06Z
1,2,4096,all_reduce,0.0983,41.65,0.0983,auto,a05u07,2026-05-05T20:32:06Z
1,2,16384,all_reduce,0.3559,46.04,0.3559,auto,a05u07,2026-05-05T20:32:06Z
1,2,16384,all_reduce,0.3686,44.45,0.3686,auto,a05u07,2026-05-05T20:32:06Z
1,2,16384,all_reduce,0.3841,42.66,0.3841,auto,a05u07,2026-05-05T20:32:06Z
1,2,16384,all_reduce,0.3837,42.70,0.3837,auto,a05u07,2026-05-05T20:32:06Z
1,2,16384,all_reduce,0.3849,42.57,0.3849,auto,a05u07,2026-05-05T20:32:06Z
1,2,16384,all_reduce,0.3803,43.09,0.3803,auto,a05u07,2026-05-05T20:32:06Z
1,2,16384,all_reduce,0.3843,42.63,0.3843,auto,a05u07,2026-05-05T20:32:06Z
1,2,65536,all_reduce,1.3112,49.98,1.3112,auto,a05u07,2026-05-05T20:32:06Z
1,2,65536,all_reduce,1.3133,49.90,1.3133,auto,a05u07,2026-05-05T20:32:06Z
1,2,65536,all_reduce,1.3682,47.90,1.3682,auto,a05u07,2026-05-05T20:32:06Z
1,2,65536,all_reduce,1.3748,47.67,1.3748,auto,a05u07,2026-05-05T20:32:06Z
1,2,65536,all_reduce,1.3451,48.72,1.3451,auto,a05u07,2026-05-05T20:32:06Z
1,2,65536,all_reduce,1.3721,47.76,1.3721,auto,a05u07,2026-05-05T20:32:06Z
1,2,65536,all_reduce,1.3779,47.56,1.3779,auto,a05u07,2026-05-05T20:32:06Z
1,2,65536,all_reduce,1.2730,51.48,1.2730,auto,a05u07,2026-05-05T20:32:06Z
1,2,262144,all_reduce,4.1438,63.26,4.1438,auto,a05u07,2026-05-05T20:32:06Z
1,2,262144,all_reduce,4.3041,60.91,4.3041,auto,a05u07,2026-05-05T20:32:06Z
1,2,262144,all_reduce,4.1264,63.53,4.1264,auto,a05u07,2026-05-05T20:32:06Z
1,2,262144,all_reduce,4.4905,58.38,4.4905,auto,a05u07,2026-05-05T20:32:06Z
1,2,262144,all_reduce,4.4812,58.50,4.4812,auto,a05u07,2026-05-05T20:32:06Z
1,2,262144,all_reduce,4.4594,58.78,4.4594,auto,a05u07,2026-05-05T20:32:06Z
1,2,262144,all_reduce,4.4522,58.88,4.4522,auto,a05u07,2026-05-05T20:32:06Z
