nchannels,world_size,msg_bytes,primitive,bandwidth_gbps,latency_us,busbw_gbps,algorithm,hostname,timestamp,dtype,dim,shape,shape_ndim,shape_m,shape_n,per_rank_elements,per_rank_bytes,wire_bytes_per_rank,latency_p10_us,latency_p90_us,iters,warmup,tag
0,8,1024,all_reduce,0.0019,543.87,0.0033,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,512,1,1,512,512,1024,1792,540.38,550.17,30,10,1d_1024B
0,8,2048,all_reduce,0.0037,547.03,0.0066,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,1024,1,1,1024,1024,2048,3584,537.96,555.94,30,10,1d_2048B
0,8,4096,all_reduce,0.0071,578.08,0.0124,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,2048,1,1,2048,2048,4096,7168,571.48,582.43,30,10,1d_4096B
0,8,8192,all_reduce,0.0141,579.24,0.0247,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,4096,1,1,4096,4096,8192,14336,568.61,585.85,30,10,1d_8192B
0,8,16384,all_reduce,0.0283,578.93,0.0495,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,8192,1,1,8192,8192,16384,28672,571.91,585.24,30,10,1d_16384B
0,8,32768,all_reduce,0.0562,582.77,0.0984,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,16384,1,1,16384,16384,32768,57344,574.03,587.45,30,10,1d_32768B
0,8,65536,all_reduce,0.1129,580.34,0.1976,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,32768,1,1,32768,32768,65536,114688,574.32,585.89,30,10,1d_65536B
0,8,131072,all_reduce,0.2215,591.77,0.3876,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,65536,1,1,65536,65536,131072,229376,586.23,597.70,30,10,1d_131072B
0,8,262144,all_reduce,0.4169,628.80,0.7296,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,131072,1,1,131072,131072,262144,458752,622.59,637.89,30,10,1d_262144B
0,8,524288,all_reduce,0.6442,813.81,1.1274,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,262144,1,1,262144,262144,524288,917504,801.69,825.52,30,10,1d_524288B
0,8,1048576,all_reduce,1.2643,829.39,2.2125,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,524288,1,1,524288,524288,1048576,1835008,815.84,839.14,30,10,1d_1048576B
0,8,2097152,all_reduce,2.3935,876.18,4.1887,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,1048576,1,1,1048576,1048576,2097152,3670016,865.19,890.94,30,10,1d_2097152B
0,8,4194304,all_reduce,3.6618,1145.41,6.4082,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,2097152,1,1,2097152,2097152,4194304,7340032,1125.33,1157.41,30,10,1d_4194304B
0,8,8388608,all_reduce,5.8826,1426.01,10.2945,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,4194304,1,1,4194304,4194304,8388608,14680064,1410.12,1442.89,30,10,1d_8388608B
0,8,16777216,all_reduce,7.8009,2150.68,13.6515,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,8388608,1,1,8388608,8388608,16777216,29360128,2124.14,2203.74,30,10,1d_16777216B
0,8,33554432,all_reduce,11.5202,2912.65,20.1604,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,16777216,1,1,16777216,16777216,33554432,58720256,2872.12,2965.62,30,10,1d_33554432B
0,8,67108864,all_reduce,14.3909,4663.28,25.1841,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,33554432,1,1,33554432,33554432,67108864,117440512,4607.34,4753.32,30,10,1d_67108864B
0,8,134217728,all_reduce,16.9442,7921.16,29.6524,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,67108864,1,1,67108864,67108864,134217728,234881024,7802.71,8107.57,30,10,1d_134217728B
0,8,2097152,all_reduce,2.3954,875.51,4.1919,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,1024x1024,2,1024,1024,1048576,2097152,3670016,864.35,885.40,30,10,tf_1024x1024
0,8,4194304,all_reduce,3.6818,1139.21,6.4431,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,1024x2048,2,1024,2048,2097152,4194304,7340032,1127.48,1155.97,30,10,tf_1024x2048
0,8,8388608,all_reduce,5.8913,1423.89,10.3098,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,1024x4096,2,1024,4096,4194304,8388608,14680064,1411.65,1448.06,30,10,tf_1024x4096
0,8,16777216,all_reduce,7.8308,2142.46,13.7039,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,1024x8192,2,1024,8192,8388608,16777216,29360128,2125.67,2164.98,30,10,tf_1024x8192
0,8,25165824,all_reduce,9.9785,2522.01,17.4623,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,1024x12288,2,1024,12288,12582912,25165824,44040192,2509.55,2561.34,30,10,tf_1024x12288
0,8,33554432,all_reduce,11.5224,2912.11,20.1642,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,1024x16384,2,1024,16384,16777216,33554432,58720256,2862.56,2964.70,30,10,tf_1024x16384
0,8,8388608,all_reduce,5.8612,1431.20,10.2572,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,4096x1024,2,4096,1024,4194304,8388608,14680064,1413.65,1444.57,30,10,tf_4096x1024
0,8,16777216,all_reduce,7.8380,2140.49,13.7166,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,4096x2048,2,4096,2048,8388608,16777216,29360128,2128.00,2173.31,30,10,tf_4096x2048
0,8,33554432,all_reduce,11.5150,2913.96,20.1513,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,4096x4096,2,4096,4096,16777216,33554432,58720256,2875.58,2969.04,30,10,tf_4096x4096
0,8,67108864,all_reduce,14.3130,4688.67,25.0477,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,4096x8192,2,4096,8192,33554432,67108864,117440512,4644.00,4762.92,30,10,tf_4096x8192
0,8,100663296,all_reduce,16.3910,6141.39,28.6842,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,4096x12288,2,4096,12288,50331648,100663296,176160768,6060.92,6280.16,30,10,tf_4096x12288
0,8,134217728,all_reduce,16.9653,7911.33,29.6892,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,4096x16384,2,4096,16384,67108864,134217728,234881024,7781.39,8078.69,30,10,tf_4096x16384
0,8,33554432,all_reduce,11.5327,2909.50,20.1822,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,16384x1024,2,16384,1024,16777216,33554432,58720256,2867.69,2977.04,30,10,tf_16384x1024
0,8,67108864,all_reduce,14.4405,4647.26,25.2709,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,16384x2048,2,16384,2048,33554432,67108864,117440512,4589.90,4735.63,30,10,tf_16384x2048
0,8,134217728,all_reduce,16.9463,7920.19,29.6560,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,16384x4096,2,16384,4096,67108864,134217728,234881024,7771.14,8085.84,30,10,tf_16384x4096
0,8,4194304,all_reduce,3.6768,1140.75,6.4344,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,1x2097152,2,1,2097152,2097152,4194304,7340032,1125.04,1161.36,30,10,ar_1x2097152
0,8,4194304,all_reduce,3.6767,1140.78,6.4342,torch,e04u37,2026-06-01T20:15:51Z,bf16,0,8x262144,2,8,262144,2097152,4194304,7340032,1128.84,1153.70,30,10,ar_8x262144
