shape,spearman,regret_pct,oracle_tile,picked_tile,oracle_gflops,picked_gflops,lds_filtered_count,top1_acc,top5_acc
12288x9472x32768_bf16_r,0.9094,0.0,256x256x64,256x256x64,1165570.0,1165570.0,25,1,1
128x13312x16384_bf16_r,0.8312,2.96,128x128x256,128x224x64,532976.0,517226.0,25,0,0
128x16384x16384_bf16_r,0.8587,8.36,128x128x256,128x224x64,585694.0,536745.0,25,0,0
128x16384x6656_bf16_r,0.8141,19.4,128x128x128,128x224x64,525947.0,423888.0,25,0,1
1536x3584x3584_f16_r,0.8525,31.39,128x192x64,256x224x64,743126.0,509885.0,25,0,0
1x1280x8192_bf16_r,0.7872,11.44,64x64x64,16x64x128,1949.03,1726.05,25,0,0
1x1280x8192_f16_r,0.7285,13.22,16x16x512,16x64x128,1997.29,1733.18,25,0,0
1x13312x16384_bf16_r,0.8428,30.85,64x64x256,16x256x64,6342.07,4385.76,25,0,0
1x16384x16384_bf16_r,0.8324,32.17,16x32x512,16x256x64,6576.08,4460.54,25,0,0
2048x1336x6176_bf16_r,0.8356,13.45,224x224x64,256x192x64,607853.0,526100.0,25,0,0
2048x4096x5376_bf16_r,0.8578,35.69,256x128x64,256x224x64,1014450.0,652400.0,25,0,0
2048x4096x5376_f16_r,0.8871,13.15,128x256x64,256x224x64,918850.0,798039.0,25,0,0
32768x128x8192_bf16_r,0.7908,13.15,160x128x128,224x128x64,574770.0,499161.0,25,0,0
3600x4096x4096_bf16_r,0.8436,28.72,256x256x64,192x256x64,1092680.0,778876.0,25,0,0
4196x4196x4196_bf16_r,0.9,14.34,192x192x64,288x224x64,811741.0,695341.0,25,0,1
4196x4196x4196_f16_r,0.9284,11.91,192x192x64,288x224x64,743786.0,655224.0,25,0,1
