tile,BLOCK_M,BLOCK_N,BLOCK_K,lds_2stage_bytes,lds_3stage_bytes,lds_2stage_KB,lds_3stage_KB,valid_2stage,valid_3stage,status,overflow_3stage_KB
128x128x128,128,128,128,65536,131072,64.0,128.0,True,False,false_accept_3s,64.0
128x128x256,128,128,256,131072,262144,128.0,256.0,False,False,both_reject,192.0
128x192x64,128,192,64,40960,81920,40.0,80.0,True,False,false_accept_3s,16.0
128x224x64,128,224,64,45056,90112,44.0,88.0,True,False,false_accept_3s,24.0
128x256x64,128,256,64,49152,98304,48.0,96.0,True,False,false_accept_3s,32.0
160x128x128,160,128,128,73728,147456,72.0,144.0,False,False,both_reject,80.0
16x16x512,16,16,512,32768,65536,32.0,64.0,True,True,both_accept,0.0
16x256x64,16,256,64,34816,69632,34.0,68.0,True,False,false_accept_3s,4.0
16x32x512,16,32,512,49152,98304,48.0,96.0,True,False,false_accept_3s,32.0
16x64x128,16,64,128,20480,40960,20.0,40.0,True,True,both_accept,0.0
192x192x64,192,192,64,49152,98304,48.0,96.0,True,False,false_accept_3s,32.0
192x256x64,192,256,64,57344,114688,56.0,112.0,True,False,false_accept_3s,48.0
224x128x64,224,128,64,45056,90112,44.0,88.0,True,False,false_accept_3s,24.0
224x224x64,224,224,64,57344,114688,56.0,112.0,True,False,false_accept_3s,48.0
256x128x64,256,128,64,49152,98304,48.0,96.0,True,False,false_accept_3s,32.0
256x192x64,256,192,64,57344,114688,56.0,112.0,True,False,false_accept_3s,48.0
256x224x64,256,224,64,61440,122880,60.0,120.0,True,False,false_accept_3s,56.0
256x256x64,256,256,64,65536,131072,64.0,128.0,True,False,false_accept_3s,64.0
288x224x64,288,224,64,65536,131072,64.0,128.0,True,False,false_accept_3s,64.0
64x64x256,64,64,256,65536,131072,64.0,128.0,True,False,false_accept_3s,64.0
64x64x64,64,64,64,16384,32768,16.0,32.0,True,True,both_accept,0.0
