shape,category,k3_regret_pct,k5_regret_pct,oracle_tflops,k5_best_tflops,flop_weight
1x1024x1024,decode,32.4759,32.4759,0.311,0.21,1e-08
1x1024x3072,decode,8.7045,8.2625,0.2941,0.2698,3e-08
1x1280x1280,decode,0.0,0.0,0.1498,0.1498,1e-08
1x1280x3840,decode,0.0,0.0,0.4117,0.4117,4e-08
1x1280x8192,decode,17.3156,0.0,0.4366,0.4366,9e-08
1x1536x1536,decode,5.6767,4.8138,0.2202,0.2096,2e-08
1x1536x4608,decode,16.4044,0.0,0.4956,0.4956,6e-08
1x2048x2048,decode,38.5371,38.5371,0.916,0.563,4e-08
1x2048x2688,decode,0.0,0.0,0.4961,0.4961,5e-08
1x2048x3584,decode,14.4508,0.0,0.6318,0.6318,6e-08
1x2048x4096,decode,42.8571,42.8571,1.218,0.696,7e-08
1x2048x5376,decode,15.4355,0.0,0.6647,0.6647,9e-08
1x2048x5504,decode,14.8712,0.0,0.6637,0.6637,9e-08
1x2048x6144,decode,15.2934,0.0,0.6748,0.6748,1.1e-07
1x2048x6656,decode,15.6788,0.0,0.6799,0.6799,1.1e-07
1x2048x8192,decode,46.8877,46.8877,1.478,0.785,1.4e-07
1x2048x10240,decode,16.2347,0.0,0.7022,0.7022,1.8e-07
1x2048x11008,decode,16.4351,0.0,0.7052,0.7052,1.9e-07
1x2048x13312,decode,16.9872,0.0,0.7123,0.7123,2.3e-07
1x2048x13824,decode,17.0079,0.0,0.7132,0.7132,2.4e-07
1x2048x14336,decode,46.8564,46.8564,1.511,0.803,2.5e-07
1x2048x16384,decode,16.252,0.0,0.7033,0.7033,2.8e-07
1x2048x22016,decode,16.514,0.0,0.7097,0.7097,3.8e-07
1x2048x27648,decode,16.6783,0.0,0.7135,0.7135,4.7e-07
1x2048x28672,decode,16.7157,0.0,0.7143,0.7143,4.9e-07
1x2048x32768,decode,16.6248,0.0,0.7158,0.7158,5.6e-07
1x2560x2560,decode,1.2825,1.2825,0.6082,0.6004,5e-08
1x2560x7680,decode,15.4978,0.0,0.8498,0.8498,1.6e-07
1x2688x2048,decode,2.9366,2.9366,0.5176,0.5024,5e-08
1x3072x1024,decode,7.4443,4.2207,0.3009,0.2882,3e-08
1x3072x3072,decode,8.3236,0.0,0.8566,0.8566,8e-08
1x3072x9216,decode,14.2984,0.0,1.0162,1.0162,2.4e-07
1x3584x2048,decode,5.8611,5.8611,0.6927,0.6521,6e-08
1x3584x3584,decode,7.7037,0.0,1.0099,1.0099,1.1e-07
1x3584x10752,decode,12.3942,0.0,1.1344,1.1344,3.2e-07
1x3840x1280,decode,3.8155,3.8155,0.4639,0.4462,4e-08
1x4096x2048,decode,32.965,32.965,1.629,1.092,7e-08
1x4096x4096,decode,38.8115,38.8115,2.154,1.318,1.4e-07
1x4096x5376,decode,1.6018,0.0,1.1924,1.1924,1.8e-07
1x4096x5504,decode,0.3133,0.0,1.181,1.181,1.9e-07
1x4096x6656,decode,2.4547,0.0,1.2262,1.2262,2.3e-07
1x4096x8192,decode,40.5909,40.5909,2.471,1.468,2.8e-07
1x4096x10240,decode,3.7499,0.0,1.2347,1.2347,3.5e-07
1x4096x11008,decode,39.0123,39.0123,2.43,1.482,3.8e-07
1x4096x12288,decode,4.8728,0.0,1.2621,1.2621,4.2e-07
1x4096x13312,decode,5.1883,0.0,1.2721,1.2721,4.6e-07
1x4096x13824,decode,5.1246,0.0,1.2723,1.2723,4.7e-07
1x4096x14336,decode,41.088,41.088,2.261,1.332,4.9e-07
1x4096x16384,decode,5.9461,0.0,1.2916,1.2916,5.6e-07
1x4096x22016,decode,7.1917,0.0,1.3168,1.3168,7.5e-07
1x4096x27648,decode,7.4284,0.0,1.326,1.326,9.5e-07
1x4096x28672,decode,7.5216,0.0,1.3295,1.3295,9.8e-07
1x4096x32768,decode,8.9504,0.0,1.3396,1.3396,1.12e-06
1x4608x1536,decode,8.8222,8.8222,0.6835,0.6232,6e-08
1x5120x5120,decode,42.8275,42.8275,2.893,1.654,2.2e-07
1x5120x5376,decode,0.0,0.0,1.3867,1.3867,2.3e-07
1x5120x5504,decode,0.1003,0.1003,1.3958,1.3944,2.4e-07
1x5120x6656,decode,0.5621,0.5621,1.3699,1.3622,2.8e-07
1x5120x8192,decode,0.5322,0.5322,1.3905,1.3831,3.5e-07
1x5120x10240,decode,0.5898,0.5898,1.4073,1.399,4.4e-07
1x5120x11008,decode,0.6523,0.6523,1.4105,1.4013,4.7e-07
1x5120x13312,decode,0.7103,0.7103,1.422,1.4119,5.7e-07
1x5120x13824,decode,38.8155,38.8155,2.651,1.622,5.9e-07
1x5120x14336,decode,0.7355,0.7355,1.4276,1.4171,6.1e-07
1x5120x15360,decode,0.7906,0.7906,1.4293,1.418,6.6e-07
1x5120x16384,decode,0.8166,0.8166,1.4328,1.4211,7e-07
1x5120x22016,decode,0.8114,0.8114,1.4419,1.4302,9.4e-07
1x5120x27648,decode,0.0,0.0,1.2202,1.2202,1.18e-06
1x5120x28672,decode,0.3918,0.3918,1.0975,1.0932,1.23e-06
1x5120x32768,decode,1.2773,1.2773,1.0882,1.0743,1.4e-06
1x5376x2048,decode,2.2011,2.2011,1.0313,1.0086,9e-08
1x5376x4096,decode,0.1271,0.1271,1.4167,1.4149,1.8e-07
1x5376x5120,decode,0.4268,0.4268,1.4527,1.4465,2.3e-07
1x5504x2048,decode,2.8955,2.8955,1.0499,1.0195,9e-08
1x5504x4096,decode,3.9699,3.9699,1.6625,1.5965,1.9e-07
1x5504x5120,decode,5.3358,5.3358,1.7242,1.6322,2.4e-07
1x6144x2048,decode,3.6577,3.6577,1.192,1.1484,1.1e-07
1x6144x6144,decode,0.0,0.0,1.6191,1.6191,3.2e-07
1x6144x18432,decode,0.0,0.0,1.6984,1.6984,9.5e-07
1x6656x2048,decode,1.6375,1.6375,1.258,1.2374,1.1e-07
1x6656x4096,decode,0.0,0.0,1.7495,1.7495,2.3e-07
1x6656x5120,decode,0.0,0.0,1.7099,1.7099,2.8e-07
1x7168x7168,decode,0.0,0.0,1.882,1.882,4.3e-07
1x7168x8192,decode,0.0,0.0,1.8963,1.8963,4.9e-07
1x7168x10240,decode,0.0,0.0,1.9166,1.9166,6.1e-07
1x7168x11008,decode,0.0,0.0,1.9207,1.9207,6.6e-07
1x7168x13312,decode,0.0,0.0,1.9358,1.9358,8e-07
1x7168x13824,decode,0.0,0.0,1.9363,1.9363,8.3e-07
1x7168x14336,decode,0.0,0.0,1.9396,1.9396,8.6e-07
1x7168x16384,decode,0.0,0.0,1.9473,1.9473,9.8e-07
1x7168x21504,decode,0.0,0.0,1.4734,1.4734,1.29e-06
1x7168x22016,decode,0.0,0.0,1.4691,1.4691,1.32e-06
1x7168x27648,decode,0.4682,0.4682,1.4523,1.4455,1.65e-06
1x7168x28672,decode,0.1868,0.1868,1.4454,1.4427,1.72e-06
1x7168x32768,decode,0.0,0.0,1.4449,1.4449,1.96e-06
1x7680x2560,decode,0.0,0.0,1.7847,1.7847,1.6e-07
1x8192x2048,decode,6.3177,6.3177,1.5686,1.4695,1.4e-07
1x8192x4096,decode,0.0,0.0,2.1232,2.1232,2.8e-07
1x8192x5120,decode,0.0,0.0,2.1768,2.1768,3.5e-07
1x8192x7168,decode,0.0,0.0,2.2362,2.2362,4.9e-07
1x8192x8192,decode,0.0,0.0,2.2654,2.2654,5.6e-07
1x8192x10240,decode,0.0,0.0,2.2911,2.2911,7e-07
1x8192x11008,decode,0.0,0.0,2.3005,2.3005,7.5e-07
1x8192x13312,decode,0.0,0.0,2.3198,2.3198,9.1e-07
1x8192x13824,decode,0.0,0.0,2.3248,2.3248,9.5e-07
1x8192x14336,decode,0.0,0.0,2.3267,2.3267,9.8e-07
1x8192x16384,decode,0.0,0.0,2.2956,2.2956,1.12e-06
1x8192x22016,decode,0.0,0.0,1.7005,1.7005,1.51e-06
1x8192x24576,decode,0.0,0.0,1.6984,1.6984,1.68e-06
1x8192x27648,decode,0.0,0.0,1.6958,1.6958,1.89e-06
1x8192x28672,decode,0.0,0.0,1.6948,1.6948,1.96e-06
1x8192x32768,decode,0.0,0.0,1.6992,1.6992,2.24e-06
1x9216x3072,decode,0.0,0.0,2.2984,2.2984,2.4e-07
1x10240x2048,decode,3.7957,3.7957,1.968,1.8933,1.8e-07
1x10240x4096,decode,0.0,0.0,2.5078,2.5078,3.5e-07
1x10240x5120,decode,0.0,0.0,2.5638,2.5638,4.4e-07
1x10240x7168,decode,0.0,0.0,2.625,2.625,6.1e-07
1x10240x8192,decode,0.0,0.0,2.6456,2.6456,7e-07
1x10752x3584,decode,0.0,0.0,2.5652,2.5652,3.2e-07
1x11008x2048,decode,3.3771,3.3771,2.0728,2.0028,1.9e-07
1x11008x4096,decode,0.0,0.0,2.6359,2.6359,3.8e-07
1x11008x5120,decode,0.0,0.0,2.6979,2.6979,4.7e-07
1x11008x7168,decode,0.0,0.0,2.7743,2.7743,6.6e-07
1x11008x8192,decode,0.0,0.0,2.7929,2.7929,7.5e-07
1x12288x4096,decode,0.0,0.0,2.9459,2.9459,4.2e-07
1x13312x2048,decode,4.2081,4.2081,2.4928,2.3879,2.3e-07
1x13312x4096,decode,0.0,0.0,3.1471,3.1471,4.6e-07
1x13312x5120,decode,0.0,0.0,3.2132,3.2132,5.7e-07
1x13312x7168,decode,0.0,0.0,3.2922,3.2922,8e-07
1x13312x8192,decode,0.0,0.0,3.3178,3.3178,9.1e-07
1x13312x16384,decode,0.0,0.0,2.3754,2.3754,1.82e-06
1x13824x2048,decode,5.0709,5.0709,2.6031,2.4711,2.4e-07
1x13824x4096,decode,0.0,0.0,3.2531,3.2531,4.7e-07
1x13824x5120,decode,0.0,0.0,3.3149,3.3149,5.9e-07
1x13824x7168,decode,0.0,0.0,3.3954,3.3954,8.3e-07
1x13824x8192,decode,0.0,0.0,3.4245,3.4245,9.5e-07
1x14336x2048,decode,4.8795,4.8795,2.6847,2.5537,2.5e-07
1x14336x4096,decode,0.0,0.0,3.3543,3.3543,4.9e-07
1x14336x5120,decode,0.0,0.0,3.4217,3.4217,6.1e-07
1x14336x7168,decode,0.0,0.0,3.514,3.514,8.6e-07
1x14336x8192,decode,0.0,0.0,3.5428,3.5428,9.8e-07
1x15360x5120,decode,0.0,0.0,3.5922,3.5922,6.6e-07
1x16384x2048,decode,2.924,2.924,2.9651,2.8784,2.8e-07
1x16384x4096,decode,0.0,0.0,3.6899,3.6899,5.6e-07
1x16384x5120,decode,0.0,0.0,3.7764,3.7764,7e-07
1x16384x7168,decode,0.0,0.0,3.8881,3.8881,9.8e-07
1x16384x8192,decode,0.0,0.0,3.9347,3.9347,1.12e-06
1x16384x16384,decode,0.0,0.0,2.6084,2.6084,2.24e-06
1x18432x6144,decode,0.0,0.0,3.8966,3.8966,9.5e-07
1x21504x7168,decode,3.0513,3.0513,3.1462,3.0502,1.29e-06
1x22016x2048,decode,0.0,0.0,3.8612,3.8612,3.8e-07
1x22016x4096,decode,0.0,0.0,4.296,4.296,7.5e-07
1x22016x5120,decode,0.0,0.0,4.3524,4.3524,9.4e-07
1x22016x7168,decode,1.3097,1.3097,3.0693,3.0291,1.32e-06
1x22016x8192,decode,4.8243,4.8243,2.8522,2.7146,1.51e-06
1x24576x8192,decode,3.2651,3.2651,2.8514,2.7583,1.68e-06
1x27648x2048,decode,0.0,0.0,4.5966,4.5966,4.7e-07
1x27648x4096,decode,0.0,0.0,4.9293,4.9293,9.5e-07
