shape,category,oracle_tflops,n_tiles,k3_regret_pct,k5_regret_pct,top1_regret_pct
1024x1024x1024,compute_bound,169.025,18,1.67,2.16,1.53
1024x11008x4096,compute_bound,577.202,18,1.29,5.07,0.96
1024x1280x8192,compute_bound,315.491,18,9.1,20.23,0.02
1024x128x128,compute_bound,2.675,18,1.05,1.38,0.97
1024x13312x16384,compute_bound,548.269,18,3.76,4.09,0.43
1024x13824x5120,compute_bound,572.659,18,1.74,1.83,0.43
1024x14336x4096,compute_bound,580.479,18,2.5,3.77,0.89
1024x16384x13312,compute_bound,585.444,18,2.42,7.1,0.38
1024x16384x16384,compute_bound,587.059,18,2.01,6.98,0.56
1024x2048x2048,compute_bound,375.828,18,5.27,9.49,3.71
1024x256x256,compute_bound,10.724,18,1.15,2.01,1.07
1024x28672x8192,compute_bound,583.519,18,2.84,4.93,0.01
1024x3072x3072,compute_bound,426.509,18,8.93,10.06,7.03
1024x4096x1024,compute_bound,401.848,18,6.05,6.08,0.35
1024x4096x10240,compute_bound,539.75,18,1.18,7.72,0.76
1024x4096x11008,compute_bound,540.034,18,0.38,7.45,0.32
1024x4096x12288,compute_bound,540.601,18,0.24,7.28,0.19
1024x4096x14336,compute_bound,543.674,18,1.14,7.37,0.02
1024x4096x1536,compute_bound,455.996,18,8.66,8.74,8.44
1024x4096x16384,compute_bound,545.907,18,0.75,7.63,0.18
1024x4096x2048,compute_bound,477.14,18,5.42,8.16,1.69
1024x4096x256,compute_bound,168.135,18,0.37,0.91,0.16
1024x4096x3072,compute_bound,504.169,18,4.85,8.47,4.84
1024x4096x4096,compute_bound,524.927,18,5.05,9.8,4.91
1024x4096x512,compute_bound,329.057,18,0.79,1.62,0.75
1024x4096x5120,compute_bound,527.168,18,2.93,8.78,2.87
1024x4096x6144,compute_bound,526.01,18,1.73,7.33,1.31
1024x4096x6656,compute_bound,531.89,18,2.59,7.99,2.5
1024x4096x7168,compute_bound,533.945,18,2.32,8.13,2.08
1024x4096x768,compute_bound,376.606,18,5.05,6.25,2.93
1024x4096x8192,compute_bound,536.738,18,1.65,8.03,1.54
1024x5120x13824,compute_bound,522.276,18,13.13,15.78,13.04
1024x5120x5120,compute_bound,520.548,18,15.79,18.31,15.12
1024x512x512,compute_bound,42.182,18,1.3,1.71,0.62
1024x6656x4096,compute_bound,536.036,18,2.41,3.31,0.04
1024x8192x1280,compute_bound,501.709,18,0.15,0.71,0.1
1024x8192x28672,compute_bound,579.958,18,1.26,8.4,0.56
1024x8192x4096,compute_bound,592.838,18,0.59,4.74,0.21
1024x8192x8192,compute_bound,612.78,18,0.72,3.1,0.7
10x14336x4096,small_batch,33.3894,43,18.7,22.16,9.39
10x4096x14336,small_batch,12.6253,43,5.03,11.44,4.36
10x4096x4096,small_batch,11.2132,43,0.67,7.32,0.0
10x8192x8192,small_batch,22.577,43,11.61,16.49,6.55
