risk,team,status,scope_relevance,classification
regret_concern,alignment,FLAGGED,relevant,FLAGGED
regret_concern,rigor,FLAGGED,relevant,FLAGGED
regret_concern,benchmarking,MISSED,relevant,GENUINE_MISS
regret_concern,optimization,FLAGGED,relevant,FLAGGED
regret_concern,research,MISSED,relevant,GENUINE_MISS
regret_concern,slurm,MISSED,peripheral,JUSTIFIED_MISS
regret_concern,kernel-opt,MISSED,relevant,GENUINE_MISS
regret_concern,validation,FLAGGED,relevant,FLAGGED
regret_concern,internal-auditor,FLAGGED,relevant,FLAGGED
scope_deferral_K018,alignment,MISSED,relevant,GENUINE_MISS
scope_deferral_K018,rigor,MISSED,relevant,GENUINE_MISS
scope_deferral_K018,benchmarking,MISSED,peripheral,JUSTIFIED_MISS
scope_deferral_K018,optimization,FLAGGED,relevant,FLAGGED
scope_deferral_K018,research,MISSED,relevant,GENUINE_MISS
scope_deferral_K018,slurm,MISSED,peripheral,JUSTIFIED_MISS
scope_deferral_K018,kernel-opt,MISSED,peripheral,JUSTIFIED_MISS
scope_deferral_K018,validation,MISSED,peripheral,JUSTIFIED_MISS
scope_deferral_K018,internal-auditor,FLAGGED,relevant,FLAGGED
16_vs_1863_gap,alignment,MISSED,relevant,GENUINE_MISS
16_vs_1863_gap,rigor,MISSED,relevant,GENUINE_MISS
16_vs_1863_gap,benchmarking,FLAGGED,relevant,FLAGGED
16_vs_1863_gap,optimization,MISSED,relevant,GENUINE_MISS
16_vs_1863_gap,research,MISSED,relevant,GENUINE_MISS
16_vs_1863_gap,slurm,FLAGGED,relevant,FLAGGED
16_vs_1863_gap,kernel-opt,MISSED,peripheral,JUSTIFIED_MISS
16_vs_1863_gap,validation,MISSED,relevant,GENUINE_MISS
16_vs_1863_gap,internal-auditor,FLAGGED,relevant,FLAGGED
top1_concern,alignment,MISSED,relevant,GENUINE_MISS
top1_concern,rigor,MISSED,relevant,GENUINE_MISS
top1_concern,benchmarking,MISSED,relevant,GENUINE_MISS
top1_concern,optimization,MISSED,relevant,GENUINE_MISS
top1_concern,research,MISSED,relevant,GENUINE_MISS
top1_concern,slurm,MISSED,peripheral,JUSTIFIED_MISS
top1_concern,kernel-opt,MISSED,peripheral,JUSTIFIED_MISS
top1_concern,validation,MISSED,relevant,GENUINE_MISS
top1_concern,internal-auditor,FLAGGED,relevant,FLAGGED
