claim,source,criticality,status,safety_margin,would_flip_at_10pct
measured_fp16_tflops=612.0,Job 17451 OCI MI300X (min_ms at 304CU),CLASSIFICATION-CRITICAL,VERIFIED,n/a,NO
cu_scaling_exp MLP=0.479,cu_scaling_fit_results.json (rad-mi300x-1),CLASSIFICATION-CRITICAL,VERIFIED,n/a,NO
cu_scaling_exp Attn=0.790,cu_scaling_fit_results.json (rad-mi300x-1),CLASSIFICATION-CRITICAL,VERIFIED,n/a,NO
cu_scaling_exp Sq8K=0.665,cu_scaling_fit_results.json (rad-mi300x-1),CLASSIFICATION-CRITICAL,VERIFIED,n/a,NO
cu_scaling_exp Lg16K=0.629,cu_scaling_fit_results.json (rad-mi300x-1),CLASSIFICATION-CRITICAL,VERIFIED,n/a,NO
iris_comm_bw=212.31 GB/s,K-018 Job 17995 MI300X,CLASSIFICATION-CRITICAL,VERIFIED,n/a,NO
alpha_MLP=0.0149,fullnode_v3 target_cus=296 n=150,CLASSIFICATION-CRITICAL,VERIFIED,59.3x,NO
alpha_Attn=0.00919,definitive split=256_48 n=120,CLASSIFICATION-CRITICAL,VERIFIED,7.7x,NO
alpha_Sq8K=0.0022,fullnode_v3 target_cus=296 n=150,CLASSIFICATION-CRITICAL,VERIFIED,193.0x,NO
alpha_Lg16K=0.0131,definitive split=256_48 n=120,CLASSIFICATION-CRITICAL,VERIFIED,14.6x,NO
alpha_BE_MLP=0.883,T_comm/T_gemm from measured,CLASSIFICATION-CRITICAL,VERIFIED,59.3x,NO
alpha_BE_Attn=0.071,T_comm/T_gemm from measured,CLASSIFICATION-CRITICAL,VERIFIED,7.7x,NO
alpha_BE_Sq8K=0.425,T_comm/T_gemm from measured,CLASSIFICATION-CRITICAL,VERIFIED,193.0x,NO
alpha_BE_Lg16K=0.191,T_comm/T_gemm from measured,CLASSIFICATION-CRITICAL,VERIFIED,14.6x,NO
1265 TFLOPS WS@296CU,spec-sheet extrapolation,CLASSIFICATION-CRITICAL,DEBUNKED,n/a,n/a
beta_base=0.15,K-019 fit (unsubstantiated),INERT,MOOT,n/a,NO
comm_cu_exponent=0.7,K-019 fit (unsubstantiated),INERT,MOOT,n/a,NO
