shape,M,N,K,category,op_type,k3_regret_pct,oracle_tflops,k3_tflops,tflops_gap
368x14336x4096,368,14336,4096,compute_bound,prefill,32.988219283868546,370.351,248.1788,122.1722
384x13312x4096,384,13312,4096,compute_bound,prefill,31.90405580954705,348.3275,237.1969,111.13059999999999
384x13312x3584,384,13312,3584,compute_bound,prefill,31.868834897574377,340.9108,232.2665,108.64429999999999
384x13312x5120,384,13312,5120,compute_bound,prefill,31.082455226605838,350.7831,241.7511,109.03199999999998
320x14336x4096,320,14336,4096,compute_bound,prefill,30.453066211861753,318.4369,221.4631,96.97379999999998
384x14336x4096,384,14336,4096,compute_bound,prefill,30.034876137727668,370.3105,259.0882,111.22230000000002
64x1408x7168,64,1408,7168,medium_batch,small_batch,29.99082690393716,38.4821,26.941,11.541100000000004
384x14336x5120,384,14336,5120,compute_bound,prefill,29.701008714327102,366.5458,257.678,108.86779999999999
288x14336x4096,288,14336,4096,compute_bound,prefill,29.66951350323834,294.596,207.1908,87.40520000000001
384x14336x2048,384,14336,2048,compute_bound,prefill,29.412890709045104,324.4166,228.9963,95.42030000000003
192x22016x4096,192,22016,4096,medium_batch,prefill,29.19584156514584,285.3766,202.0585,83.31809999999999
192x22016x3584,192,22016,3584,medium_batch,prefill,29.17029605502811,281.3835,199.3031,82.08040000000003
64x1408x8192,64,1408,8192,medium_batch,small_batch,29.093013684535446,38.876,27.5658,11.310199999999998
384x13312x8192,384,13312,8192,compute_bound,prefill,28.559276246638937,349.2571,249.5118,99.74529999999999
352x14336x4096,352,14336,4096,compute_bound,prefill,28.434830747643037,335.8033,240.3182,95.48509999999999
192x22016x2048,192,22016,2048,medium_batch,prefill,28.408706736988677,254.0883,181.9051,72.1832
400x14336x4096,400,14336,4096,compute_bound,prefill,28.247567598514028,359.8193,258.1791,101.6402
384x14336x8192,384,14336,8192,compute_bound,prefill,28.238929067900433,384.2111,275.714,108.49709999999999
304x14336x4096,304,14336,4096,compute_bound,prefill,28.22460584558763,301.595,216.471,85.12400000000002
384x13312x7168,384,13312,7168,compute_bound,prefill,28.213715867944124,344.8298,247.5405,97.28929999999997
416x14336x4096,416,14336,4096,compute_bound,prefill,28.184456134941744,373.6368,268.3293,105.3075
384x16384x4096,384,16384,4096,compute_bound,prefill,27.960650472797116,399.8015,288.0144,111.78709999999995
272x14336x4096,272,14336,4096,compute_bound,prefill,27.921253544681157,275.06,198.2598,76.80019999999999
384x14336x3584,384,14336,3584,compute_bound,prefill,27.85424780476211,353.4355,254.9887,98.4468
384x16384x5120,384,16384,5120,compute_bound,prefill,27.660437929526044,401.6491,290.5512,111.09789999999998
192x22016x5120,192,22016,5120,medium_batch,prefill,27.652011688301737,286.9878,207.6299,79.3579
336x14336x4096,336,14336,4096,compute_bound,prefill,27.35162880979748,316.4243,229.8771,86.5472
384x16384x7168,384,16384,7168,compute_bound,prefill,27.28704626850151,405.8182,295.0824,110.73579999999998
64x1408x4096,64,1408,4096,medium_batch,small_batch,27.23842262671594,30.6611,22.3095,8.351600000000001
384x13312x2048,384,13312,2048,compute_bound,prefill,26.949504709016548,298.4912,218.0493,80.4419
384x16384x3584,384,16384,3584,compute_bound,prefill,26.850346260891815,384.7388,281.4351,103.30370000000005
384x16384x2048,384,16384,2048,compute_bound,prefill,26.76116357564223,345.6621,253.1589,92.50320000000002
448x14336x4096,448,14336,4096,compute_bound,prefill,26.302095651382235,393.2238,289.7977,103.42609999999996
384x14336x7168,384,14336,7168,compute_bound,prefill,26.27388857721245,375.0328,276.4971,98.53570000000002
192x27648x3584,192,27648,3584,medium_batch,prefill,25.897058740119068,317.3538,235.1685,82.18529999999998
256x22016x4096,256,22016,4096,medium_batch,prefill,25.557082334044566,344.6618,256.5763,88.08550000000002
192x22016x8192,192,22016,8192,medium_batch,prefill,25.391566786108967,248.5719,185.4556,63.116299999999995
256x22016x3584,256,22016,3584,medium_batch,prefill,25.328274809330402,341.0481,254.6665,86.38159999999996
256x22016x5120,256,22016,5120,medium_batch,prefill,25.174111795801117,352.5034,263.7638,88.7396
