shape,M,op_type,n_total_tiles,n_aligned_tiles,heuristic_tile,heuristic_tflops,oracle_tile,oracle_tflops,regret_pct,k3_regret_pct,match_oracle,improvement_over_k3_pp
400x14336x4096,400,prefill,37,12,16x128x64,167.6165,128x256x64,359.8193,53.4165,28.2476,False,-25.1689
368x14336x4096,368,prefill,37,12,16x128x64,190.5056,128x256x64,370.351,48.5608,32.9882,False,-15.5726
336x14336x4096,336,prefill,37,12,16x128x64,173.4506,256x128x64,316.4243,45.1842,27.3516,False,-17.8326
304x14336x4096,304,prefill,37,12,16x128x64,165.8687,64x256x64,301.595,45.0028,28.2246,False,-16.7782
272x14336x4096,272,prefill,37,12,16x128x64,157.9329,64x256x64,275.06,42.5824,27.9213,False,-14.6611
288x14336x4096,288,prefill,37,21,32x128x64,189.4329,64x128x64,294.596,35.6974,29.6695,False,-6.0279
416x14336x4096,416,prefill,37,21,32x128x64,240.8751,128x256x64,373.6368,35.5323,28.1845,False,-7.3478
192x27648x3584,192,prefill,37,27,64x128x128,220.1258,256x128x64,317.3538,30.6371,25.8971,False,-4.74
352x14336x4096,352,prefill,37,21,32x128x64,235.171,128x256x64,335.8033,29.9676,28.4348,False,-1.5328
448x14336x4096,448,prefill,37,27,64x128x128,280.3937,256x128x64,393.2238,28.6936,26.3021,False,-2.3915
192x22016x5120,192,prefill,37,27,64x128x64,263.7959,256x128x64,286.9878,8.0811,27.652,False,19.5709
192x22016x3584,192,prefill,37,27,64x128x64,264.3695,256x128x64,281.3835,6.0466,29.1703,False,23.1237
192x22016x4096,192,prefill,37,27,64x128x64,269.1197,256x128x64,285.3766,5.6966,29.1958,False,23.4992
192x22016x8192,192,prefill,37,27,64x128x64,247.0089,256x128x64,248.5719,0.6288,25.3916,False,24.7628
384x13312x4096,384,prefill,37,32,128x256x64,348.3275,128x256x64,348.3275,0.0,31.9041,True,31.9041
384x13312x3584,384,prefill,37,32,128x256x64,340.9108,128x256x64,340.9108,0.0,31.8688,True,31.8688
384x13312x5120,384,prefill,37,32,128x256x64,350.7831,128x256x64,350.7831,0.0,31.0825,True,31.0825
320x14336x4096,320,prefill,37,27,64x256x64,318.4369,64x256x64,318.4369,0.0,30.4531,True,30.4531
384x14336x4096,384,prefill,37,32,128x256x64,370.3105,128x256x64,370.3105,0.0,30.0349,True,30.0349
64x1408x7168,64,small_batch,37,37,16x16x256,38.4821,16x16x256,38.4821,0.0,29.9908,True,29.9908
384x14336x5120,384,prefill,37,32,128x256x64,366.5458,128x256x64,366.5458,0.0,29.701,True,29.701
384x14336x2048,384,prefill,37,32,128x256x64,324.4166,128x256x64,324.4166,0.0,29.4129,True,29.4129
64x1408x8192,64,small_batch,37,37,16x16x256,38.876,16x16x256,38.876,0.0,29.093,True,29.093
384x13312x8192,384,prefill,37,32,128x256x64,349.2571,128x256x64,349.2571,0.0,28.5593,True,28.5593
192x22016x2048,192,prefill,37,27,64x128x64,254.0883,64x128x64,254.0883,0.0,28.4087,True,28.4087
384x14336x8192,384,prefill,37,32,128x256x64,384.2111,128x256x64,384.2111,0.0,28.2389,True,28.2389
384x13312x7168,384,prefill,37,32,128x256x64,344.8298,128x256x64,344.8298,0.0,28.2137,True,28.2137
384x16384x4096,384,prefill,37,32,128x256x64,399.8015,128x256x64,399.8015,0.0,27.9607,True,27.9607
384x14336x3584,384,prefill,37,32,128x256x64,353.4355,128x256x64,353.4355,0.0,27.8542,True,27.8542
384x16384x5120,384,prefill,37,32,128x256x64,401.6491,128x256x64,401.6491,0.0,27.6604,True,27.6604
384x16384x7168,384,prefill,37,32,128x256x64,405.8182,128x256x64,405.8182,0.0,27.287,True,27.287
64x1408x4096,64,small_batch,37,37,16x16x256,30.6611,16x16x256,30.6611,0.0,27.2384,True,27.2384
384x13312x2048,384,prefill,37,32,128x256x64,298.4912,128x256x64,298.4912,0.0,26.9495,True,26.9495
384x16384x3584,384,prefill,37,32,128x256x64,384.7388,128x256x64,384.7388,0.0,26.8503,True,26.8503
384x16384x2048,384,prefill,37,32,128x256x64,345.6621,128x256x64,345.6621,0.0,26.7612,True,26.7612
384x14336x7168,384,prefill,37,32,128x256x64,375.0328,128x256x64,375.0328,0.0,26.2739,True,26.2739
256x22016x4096,256,prefill,37,37,256x128x64,344.6618,256x128x64,344.6618,0.0,25.5571,True,25.5571
256x22016x3584,256,prefill,37,37,256x128x64,341.0481,256x128x64,341.0481,0.0,25.3283,True,25.3283
256x22016x5120,256,prefill,37,37,256x128x64,352.5034,256x128x64,352.5034,0.0,25.1741,True,25.1741
