shape,M,N,K,oracle_tile,oracle_gflops,old_pick_tile,old_gflops,old_regret,new_pick_tile,new_gflops,new_regret,source
32x4096x4096,32,4096,4096,64x64x128_s2,23805.58,64x64x64_s2,19945.78,16.213845661395364,64x64x64_s2,19945.78,16.213845661395364,MI300X OCI sweep [VERIFIED]
128x4096x4096,128,4096,4096,64x64x128_s2,106971.77,64x64x64_s2,88543.31,17.227404949922775,64x64x64_s2,88543.31,17.227404949922775,MI300X OCI sweep [VERIFIED]
128x4096x14336,128,4096,14336,64x64x128_s2,113160.47,64x64x64_s2,92652.14,18.123228014164315,64x64x64_s2,92652.14,18.123228014164315,MI300X OCI sweep [VERIFIED]
128x14336x4096,128,14336,4096,64x64x128_s2,236429.09,64x64x64_s2,215756.6,8.743632181640592,64x64x64_s2,215756.6,8.743632181640592,MI300X OCI sweep [VERIFIED]
512x4096x4096,512,4096,4096,64x64x128_s2,254363.39,64x64x64_s2,228892.22,10.013693401397116,64x64x64_s2,228892.22,10.013693401397116,MI300X OCI sweep [VERIFIED]
1024x4096x4096,1024,4096,4096,128x128x64_s2,299529.56,64x64x64_s2,265142.24,11.48044286513825,64x64x64_s2,265142.24,11.48044286513825,MI300X OCI sweep [VERIFIED]
2048x4096x4096,2048,4096,4096,128x128x64_s2,442632.46,64x64x64_s2,276402.8,37.55478303602045,64x64x64_s2,276402.8,37.55478303602045,MI300X OCI sweep [VERIFIED]
4096x4096x4096,4096,4096,4096,128x128x64_s2,439172.36,64x64x64_s2,278308.51,36.62886480378683,64x64x64_s2,278308.51,36.62886480378683,MI300X OCI sweep [VERIFIED]
8192x4096x4096,8192,4096,4096,128x128x64_s2,435799.3,64x64x64_s2,281145.95,35.48728738205866,64x64x64_s2,281145.95,35.48728738205866,MI300X OCI sweep [VERIFIED]
4096x14336x4096,4096,14336,4096,256x256x32_s2,456550.09,64x64x64_s2,272942.36,40.21633858400948,64x64x64_s2,272942.36,40.21633858400948,MI300X OCI sweep [VERIFIED]
8192x8192x8192,8192,8192,8192,256x256x32_s2,450476.63,64x64x64_s2,273902.27,39.19722983187829,64x64x64_s2,273902.27,39.19722983187829,MI300X OCI sweep [VERIFIED]
1x1024x1024_bf16,1,1024,1024,32x32x256_stg3,210.0,32x32x32_stg2,116.0,44.7619,32x32x256_stg3,210.0,0.0,MI300X Banff revalidation [VERIFIED]
1x1024x14336_bf16,1,1024,14336,32x32x256_stg3,387.3333,32x256x32_stg2,86.0,77.7969,32x32x256_stg3,387.3333,0.0,MI300X Banff revalidation [VERIFIED]
1x1024x2048_bf16,1,1024,2048,32x32x256_stg3,278.6667,32x32x32_stg2,134.0,51.9139,32x32x256_stg3,278.6667,0.0,MI300X Banff revalidation [VERIFIED]
1x1024x4096_bf16,1,1024,4096,32x32x256_stg3,332.3333,32x64x32_stg2,143.3333,56.8706,32x32x256_stg3,332.3333,0.0,MI300X Banff revalidation [VERIFIED]
1x1024x8192_bf16,1,1024,8192,32x32x256_stg3,369.0,32x64x32_stg2,149.6667,59.4399,32x32x256_stg3,369.0,0.0,MI300X Banff revalidation [VERIFIED]
1x1536x5120_bf16,1,1536,5120,32x32x256_stg3,507.6667,32x64x32_stg2,212.3333,58.1747,32x32x256_stg3,507.6667,0.0,MI300X Banff revalidation [VERIFIED]
1x2048x1024_bf16,1,2048,1024,64x32x256_stg2,405.3333,32x32x32_stg2,228.0,43.75,64x32x256_stg2,405.3333,0.0,MI300X Banff revalidation [VERIFIED]
1x2048x14336_bf16,1,2048,14336,32x32x256_stg3,745.6667,32x256x32_stg2,161.3333,78.3639,32x32x256_stg3,745.6667,0.0,MI300X Banff revalidation [VERIFIED]
1x2048x2048_bf16,1,2048,2048,32x32x256_stg2,536.3333,32x64x32_stg2,264.6667,50.6526,32x32x256_stg2,536.3333,0.0,MI300X Banff revalidation [VERIFIED]
1x2048x4096_bf16,1,2048,4096,64x32x256_stg2,638.3333,32x256x32_stg2,168.3333,73.6292,64x32x256_stg2,638.3333,0.0,MI300X Banff revalidation [VERIFIED]
1x2048x7168_bf16,1,2048,7168,32x32x256_stg2,702.3333,32x256x32_stg2,165.6667,76.412,32x32x256_stg2,702.3333,0.0,MI300X Banff revalidation [VERIFIED]
1x2048x8192_bf16,1,2048,8192,32x32x256_stg2,722.6667,32x256x32_stg2,162.3333,77.5369,32x32x256_stg2,722.6667,0.0,MI300X Banff revalidation [VERIFIED]
1x4096x1024_bf16,1,4096,1024,64x32x256_stg2,746.3333,32x64x32_stg2,452.3333,39.3926,64x32x256_stg2,746.3333,0.0,MI300X Banff revalidation [VERIFIED]
1x4096x11008_bf16,1,4096,11008,32x32x256_stg2,1145.3333,32x256x32_stg2,293.6667,74.3597,32x32x256_stg2,1145.3333,0.0,MI300X Banff revalidation [VERIFIED]
1x4096x14336_bf16,1,4096,14336,64x32x256_stg2,983.6667,32x512x32_stg2,179.6667,81.735,64x32x256_stg2,983.6667,0.0,MI300X Banff revalidation [VERIFIED]
1x4096x2048_bf16,1,4096,2048,32x32x256_stg2,996.6667,32x64x32_stg2,520.3333,47.7926,32x32x256_stg2,996.6667,0.0,MI300X Banff revalidation [VERIFIED]
1x4096x4096_bf16,1,4096,4096,32x32x256_stg2,1217.3333,32x256x32_stg2,318.6667,73.8226,32x32x256_stg2,1217.3333,0.0,MI300X Banff revalidation [VERIFIED]
1x4096x8192_bf16,1,4096,8192,64x32x256_stg2,1269.6667,32x512x32_stg2,194.0,84.7204,64x32x256_stg2,1269.6667,0.0,MI300X Banff revalidation [VERIFIED]
1x5120x13824_bf16,1,5120,13824,32x32x256_stg3,1143.3333,32x256x32_stg2,348.3333,69.5335,32x32x256_stg3,1143.3333,0.0,MI300X Banff revalidation [VERIFIED]
1x5120x1536_bf16,1,5120,1536,64x32x256_stg2,1089.3333,32x64x32_stg2,607.0,44.2778,64x32x256_stg2,1089.3333,0.0,MI300X Banff revalidation [VERIFIED]
1x5120x18432_bf16,1,5120,18432,32x32x256_stg3,1280.5,32x512x32_stg2,264.0,79.3831,32x32x256_stg3,1280.5,0.0,MI300X Banff revalidation [VERIFIED]
1x5120x5120_bf16,1,5120,5120,32x32x256_stg3,1475.6667,32x256x32_stg2,392.6667,73.3906,32x32x256_stg3,1475.6667,0.0,MI300X Banff revalidation [VERIFIED]
